dropout_rate,mean_largest,std_largest,min_largest,max_largest,dropout_pct
0.1,15863.86,4.4493062976843465,15853,15873,10
0.2,15810.32,10.092308649538811,15788,15827,20
0.3,15714.38,16.651150600679834,15671,15754,30
0.4,15573.74,18.065425315688714,15537,15609,40
0.5,15361.3,20.339215163554904,15323,15395,50
0.6,15055.74,23.77257037092996,14991,15101,60
0.7,14576.84,31.625590258264836,14471,14648,70
0.8,13764.16,46.684507765490345,13670,13853,80
0.9,11954.28,57.75389023030982,11804,12059,90
