dropout_rate,seed,largest_component
0.7,9,14593
0.7,10,14576
0.7,11,14597
0.7,12,14572
0.7,13,14565
0.7,14,14604
0.7,15,14589
0.7,16,14520
0.7,17,14582
0.7,18,14603
0.7,19,14554
0.7,20,14572
0.7,21,14574
0.7,22,14566
0.7,23,14566
0.7,24,14549
0.7,25,14560
0.7,26,14561
0.7,27,14596
0.7,28,14590
0.7,29,14521
0.7,30,14471
0.7,31,14567
0.7,32,14568
0.7,33,14534
0.7,34,14575
0.7,35,14610
0.7,36,14592
0.7,37,14600
0.7,38,14532
0.7,39,14648
0.7,40,14542
0.7,41,14598
0.7,42,14596
0.7,43,14570
0.7,44,14623
0.7,45,14579
0.7,46,14605
0.7,47,14564
0.7,48,14636
0.7,49,14545
0.8,0,13765
0.8,1,13757
0.8,2,13827
0.8,3,13799
0.8,4,13739
0.8,5,13787
0.8,6,13715
0.8,7,13843
0.8,8,13753
0.8,9,13835
0.8,10,13782
0.8,11,13691
0.8,12,13790
0.8,13,13781
0.8,14,13790
0.8,15,13711
0.8,16,13716
0.8,17,13793
0.8,18,13705
0.8,19,13748
0.8,20,13761
0.8,21,13697
0.8,22,13759
0.8,23,13776
0.8,24,13772
0.8,25,13732
0.8,26,13750
0.8,27,13824
0.8,28,13770
0.8,29,13708
0.8,30,13670
0.8,31,13675
0.8,32,13786
0.8,33,13732
0.8,34,13809
0.8,35,13808
0.8,36,13744
0.8,37,13817
0.8,38,13778
0.8,39,13842
0.8,40,13752
0.8,41,13722
0.8,42,13711
0.8,43,13757
0.8,44,13853
0.8,45,13808
0.8,46,13796
0.8,47,13759
0.8,48,13825
0.8,49,13688
0.9,0,11804
0.9,1,11918
0.9,2,12015
0.9,3,11990
0.9,4,11923
0.9,5,12049
0.9,6,11915
0.9,7,11999
0.9,8,11963
0.9,9,11990
0.9,10,11936
0.9,11,11974
0.9,12,12010
0.9,13,12059
0.9,14,11889
0.9,15,11871
0.9,16,12016
0.9,17,11987
0.9,18,11927
0.9,19,11896
0.9,20,12047
0.9,21,11964
0.9,22,11947
0.9,23,11927
0.9,24,12009
0.9,25,11890
0.9,26,11942
0.9,27,11975
0.9,28,11893
0.9,29,11894
0.9,30,11890
0.9,31,11904
0.9,32,11904
0.9,33,11942
0.9,34,11960
0.9,35,11870
0.9,36,11877
0.9,37,12027
0.9,38,11987
0.9,39,11988
0.9,40,11936
0.9,41,11962
0.9,42,11953
0.9,43,11994
0.9,44,12054
0.9,45,11999
0.9,46,12034
0.9,47,11899
0.9,48,12016
0.9,49,11899
